capture_datetime,capture_date,capture_time,hour,doy,confidence_mass_max,pred_count_max,detection_rate_max,focus_selected,num_focus_available,num_focus_detected,any_focus_detected,confidence_mass_range_across_focus,confidence_mass_std_across_focus
2024-06-17 08:01:00,2024-06-17,08:01:00,8,169,0.0,0,0.0,700,1,0,0,0.0,0.0
2024-06-17 08:31:00,2024-06-17,08:31:00,8,169,0.0,0,0.0,700,1,0,0,0.0,0.0
2024-06-17 09:01:00,2024-06-17,09:01:00,9,169,0.0,0,0.0,700,1,0,0,0.0,0.0
2024-06-17 09:31:00,2024-06-17,09:31:00,9,169,0.0,0,0.0,700,1,0,0,0.0,0.0
2024-06-17 10:01:00,2024-06-17,10:01:00,10,169,0.0,0,0.0,700,1,0,0,0.0,0.0
2024-06-17 10:31:00,2024-06-17,10:31:00,10,169,0.0,0,0.0,700,1,0,0,0.0,0.0
2024-06-17 11:01:00,2024-06-17,11:01:00,11,169,0.0,0,0.0,700,1,0,0,0.0,0.0
2024-06-17 11:31:00,2024-06-17,11:31:00,11,169,0.0,0,0.0,700,1,0,0,0.0,0.0
2024-06-17 12:01:00,2024-06-17,12:01:00,12,169,0.0,0,0.0,700,1,0,0,0.0,0.0
2024-06-17 12:31:00,2024-06-17,12:31:00,12,169,0.0,0,0.0,700,1,0,0,0.0,0.0
2024-06-17 13:01:00,2024-06-17,13:01:00,13,169,0.0,0,0.0,700,1,0,0,0.0,0.0
2024-06-17 13:31:00,2024-06-17,13:31:00,13,169,0.0,0,0.0,700,1,0,0,0.0,0.0
2024-06-17 14:01:00,2024-06-17,14:01:00,14,169,0.0,0,0.0,700,1,0,0,0.0,0.0
2024-06-17 14:31:00,2024-06-17,14:31:00,14,169,0.0,0,0.0,700,1,0,0,0.0,0.0
2024-06-17 15:01:00,2024-06-17,15:01:00,15,169,0.0,0,0.0,700,1,0,0,0.0,0.0
2024-06-17 15:31:00,2024-06-17,15:31:00,15,169,0.0,0,0.0,700,1,0,0,0.0,0.0
2024-06-17 16:01:00,2024-06-17,16:01:00,16,169,0.0,0,0.0,700,1,0,0,0.0,0.0
